KEY	Population.x	name.x	Parent.x	Count.x	ParentCount.x	METRIC.x	GATE.x	QC.x	Panel.x	PDF.x	FlaggedSample.x	MACHINE.x	RealAutoParent.x	Manual.x	Merge.x	freq_lymph.x	freqParent.x	freq_PBMC.x	Population.y	name.y	Parent.y	Count.y	ParentCount.y	METRIC.y	GATE.y	QC.y	Panel.y	PDF.y	FlaggedSample.y	MACHINE.y	TEMPLATE_FILE_USED	RealAutoParent.y	Manual.y	Merge.y	freq_lymph.y	freqParent.y	freq_PBMC.y	TEMPLATE_FILE_USEDTRIM	DIFF
2016-05-10_PANEL 1_HB_panel one_F1631918_002.fcsIgD+CD27-panel1BcellsLSRnaive Bcells (CD27- IgD+)	IgD+CD27-	2016-05-10_PANEL 1_HB_panel one_F1631918_002.fcs	Bcells	5367	6896	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_0/gate_plots18.pdf	FALSE	LSR	Bcells	naive Bcells (CD27- IgD+)	IgD+CD27-_2016-05-10_PANEL 1_HB_panel one_F1631918_002.fcs	0.0567624164480921	0.778277262180974	NA	IgD+CD27-	2016-05-10_PANEL 1_HB_panel one_F1631918_002.fcs	Bcells	5627	6885	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_0/gate_plots18.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Bcells	naive Bcells (CD27- IgD+)	IgD+CD27-_2016-05-10_PANEL 1_HB_panel one_F1631918_002.fcs	0.0595103378985775	0.817283950617284	NA	lymph.LSR.f	0.0390066884363099
2016-05-16_PANEL 1_DHS_panel one_F1631938_007.fcsIgD-CD27+panel1BcellsLSRIgD- memory Bcells (CD27+)	IgD-CD27+	2016-05-16_PANEL 1_DHS_panel one_F1631938_007.fcs	Bcells	256	28542	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_1/gate_plots17.pdf	FALSE	LSR	Bcells	IgD- memory Bcells (CD27+)	IgD-CD27+_2016-05-16_PANEL 1_DHS_panel one_F1631938_007.fcs	0.00120889291853195	0.00896923831546493	NA	IgD-CD27+	2016-05-16_PANEL 1_DHS_panel one_F1631938_007.fcs	Bcells	1374	28600	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_1/gate_plots15.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Bcells	IgD- memory Bcells (CD27+)	IgD-CD27+_2016-05-16_PANEL 1_DHS_panel one_F1631938_007.fcs	0.00648434366077538	0.048041958041958	NA	lymph.LSR.f	0.0390727197264931
2016-05-16_PANEL 1_DHS_panel one_F1631938_007.fcsIgD+CD27-panel1BcellsLSRnaive Bcells (CD27- IgD+)	IgD+CD27-	2016-05-16_PANEL 1_DHS_panel one_F1631938_007.fcs	Bcells	24649	28542	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_1/gate_plots17.pdf	FALSE	LSR	Bcells	naive Bcells (CD27- IgD+)	IgD+CD27-_2016-05-16_PANEL 1_DHS_panel one_F1631938_007.fcs	0.116398443550367	0.863604512648028	NA	IgD+CD27-	2016-05-16_PANEL 1_DHS_panel one_F1631938_007.fcs	Bcells	11142	28600	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_1/gate_plots15.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Bcells	naive Bcells (CD27- IgD+)	IgD+CD27-_2016-05-16_PANEL 1_DHS_panel one_F1631938_007.fcs	0.0525826470657637	0.38958041958042	NA	lymph.LSR.f	0.474024093067608
2016-05-16_PANEL 1_DHS_panel one_F1631938_007.fcsIgD+CD27+panel1BcellsLSRIgD+ memory Bcells (CD27+)	IgD+CD27+	2016-05-16_PANEL 1_DHS_panel one_F1631938_007.fcs	Bcells	1551	28542	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_1/gate_plots17.pdf	FALSE	LSR	Bcells	IgD+ memory Bcells (CD27+)	IgD+CD27+_2016-05-16_PANEL 1_DHS_panel one_F1631938_007.fcs	0.00732419108063694	0.0543409712003363	NA	IgD+CD27+	2016-05-16_PANEL 1_DHS_panel one_F1631938_007.fcs	Bcells	432	28600	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_1/gate_plots15.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Bcells	IgD+ memory Bcells (CD27+)	IgD+CD27+_2016-05-16_PANEL 1_DHS_panel one_F1631938_007.fcs	0.00203874560513462	0.0151048951048951	NA	lymph.LSR.f	0.0392360760954412
2016-05-24_PANEL 1_DHS_panel one_F1636504_003.fcsIgD-CD27+panel1BcellsLSRIgD- memory Bcells (CD27+)	IgD-CD27+	2016-05-24_PANEL 1_DHS_panel one_F1636504_003.fcs	Bcells	760	4377	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_1/gate_plots6.pdf	FALSE	LSR	Bcells	IgD- memory Bcells (CD27+)	IgD-CD27+_2016-05-24_PANEL 1_DHS_panel one_F1636504_003.fcs	0.0041807859877657	0.17363490975554	NA	IgD-CD27+	2016-05-24_PANEL 1_DHS_panel one_F1636504_003.fcs	Bcells	88	4387	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_1/gate_plots5.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Bcells	IgD- memory Bcells (CD27+)	IgD-CD27+_2016-05-24_PANEL 1_DHS_panel one_F1636504_003.fcs	0.000483208504469679	0.0200592660132209	NA	lymph.LSR.f	0.153575643742319
2016-05-24_PANEL 1_DHS_panel one_F1636504_003.fcsIgD+CD27-panel1BcellsLSRnaive Bcells (CD27- IgD+)	IgD+CD27-	2016-05-24_PANEL 1_DHS_panel one_F1636504_003.fcs	Bcells	460	4377	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_1/gate_plots6.pdf	FALSE	LSR	Bcells	naive Bcells (CD27- IgD+)	IgD+CD27-_2016-05-24_PANEL 1_DHS_panel one_F1636504_003.fcs	0.00253047572943713	0.105094813799406	NA	IgD+CD27-	2016-05-24_PANEL 1_DHS_panel one_F1636504_003.fcs	Bcells	3206	4387	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_1/gate_plots5.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Bcells	naive Bcells (CD27- IgD+)	IgD+CD27-_2016-05-24_PANEL 1_DHS_panel one_F1636504_003.fcs	0.0176041643787476	0.730795532254388	NA	lymph.LSR.f	0.625700718454982
2016-05-24_PANEL 1_DHS_panel one_F1636504_003.fcsIgD+CD27+panel1BcellsLSRIgD+ memory Bcells (CD27+)	IgD+CD27+	2016-05-24_PANEL 1_DHS_panel one_F1636504_003.fcs	Bcells	86	4377	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_1/gate_plots6.pdf	FALSE	LSR	Bcells	IgD+ memory Bcells (CD27+)	IgD+CD27+_2016-05-24_PANEL 1_DHS_panel one_F1636504_003.fcs	0.000473088940720856	0.0196481608407585	NA	IgD+CD27+	2016-05-24_PANEL 1_DHS_panel one_F1636504_003.fcs	Bcells	761	4387	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_1/gate_plots5.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Bcells	IgD+ memory Bcells (CD27+)	IgD+CD27+_2016-05-24_PANEL 1_DHS_panel one_F1636504_003.fcs	0.0041786553625162	0.173467061773421	NA	lymph.LSR.f	0.153818900932663
2016-05-26_PANEL 1_ZF_panel one_F1636727_020.fcsIgD+CD27-panel1BcellsLSRnaive Bcells (CD27- IgD+)	IgD+CD27-	2016-05-26_PANEL 1_ZF_panel one_F1636727_020.fcs	Bcells	80	285	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_1/gate_plots9.pdf	FALSE	LSR	Bcells	naive Bcells (CD27- IgD+)	IgD+CD27-_2016-05-26_PANEL 1_ZF_panel one_F1636727_020.fcs	0.0259403372243839	0.280701754385965	NA	IgD+CD27-	2016-05-26_PANEL 1_ZF_panel one_F1636727_020.fcs	Bcells	72	305	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_1/gate_plots8.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Bcells	naive Bcells (CD27- IgD+)	IgD+CD27-_2016-05-26_PANEL 1_ZF_panel one_F1636727_020.fcs	0.0237623762376238	0.236065573770492	NA	lymph.LSR.f	0.044636180615473
2016-06-07_PANEL 1_DHS_Group one_F1631123_011.fcsCD4panel1TcellsLSRHelper Tcells-CD4+	CD4	2016-06-07_PANEL 1_DHS_Group one_F1631123_011.fcs	Tcells	978	1393	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_1/gate_plots15.pdf	FALSE	LSR	Tcells	Helper Tcells-CD4+	CD4_2016-06-07_PANEL 1_DHS_Group one_F1631123_011.fcs	0.0158185876492091	0.70208183776023	NA	CD4	2016-06-07_PANEL 1_DHS_Group one_F1631123_011.fcs	Tcells	884	1399	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_1/gate_plots14.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Tcells	Helper Tcells-CD4+	CD4_2016-06-07_PANEL 1_DHS_Group one_F1631123_011.fcs	0.014190089410405	0.631879914224446	NA	lymph.LSR.f	0.070201923535784
2016-06-09_PANEL 1_ZF_Group one_F1631048_009.fcsCD8panel1TcellsLSRcytotoxic Tcells-CD8+	CD8	2016-06-09_PANEL 1_ZF_Group one_F1631048_009.fcs	Tcells	7141	20728	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_1/gate_plots22.pdf	FALSE	LSR	Tcells	cytotoxic Tcells-CD8+	CD8_2016-06-09_PANEL 1_ZF_Group one_F1631048_009.fcs	0.152373839752481	0.344509841759938	NA	CD8	2016-06-09_PANEL 1_ZF_Group one_F1631048_009.fcs	Tcells	7702	20649	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_1/gate_plots20.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Tcells	cytotoxic Tcells-CD8+	CD8_2016-06-09_PANEL 1_ZF_Group one_F1631048_009.fcs	0.165271876743487	0.37299627100586	NA	lymph.LSR.f	0.028486429245922
