BIN	MACHINE.x	MEDIAN_SAMPLE_CV	BIN_POPULATION	CV_POPULATION	PANEL	MANUSCRIPT_RANGE	REDUCTION
(0,2e+04]	FORTESSA	1.57614880379272	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	0.49047519289891	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	TRUE	0.688814157826552
(0,2e+04]	LSR	1.73995294704391	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	0.427371019972635	Live Single Lymphocytes	Lymphocytes (SSC-A v FSC-A)	panel1	TRUE	0.754377829182842
(0,2e+04]	FORTESSA	0.55827828873043	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	0.273409622200673	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	TRUE	0.510262842528896
(0,2e+04]	LSR	0.673803859392894	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	0.274891078267066	Live Single Lymphocytes	Single Cells (FSC-H v FSC-W)	panel1	TRUE	0.592031012534202
(0,2e+04]	FORTESSA	0.224016950414104	Live Single Lymphocytes	Live cells (PE-)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	0.0756584629311891	Live Single Lymphocytes	Live cells (PE-)	panel1	TRUE	0.662264561715837
(0,2e+04]	LSR	0.166955264925613	Live Single Lymphocytes	Live cells (PE-)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	0.0455177409082704	Live Single Lymphocytes	Live cells (PE-)	panel1	TRUE	0.727365645350861
(0,2e+04]	FORTESSA	0.98880842948995	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	0.339088322223271	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	TRUE	0.657073794973431
(0,2e+04]	LSR	1.09518702143626	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	0.225088065231281	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	TRUE	0.794475225851295
(0,2e+04]	FORTESSA	1.18341548940712	Live Single Lymphocytes	Helper Tcells-CD4+	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	0.376485753158668	Live Single Lymphocytes	Helper Tcells-CD4+	panel1	TRUE	0.681865112863037
(0,2e+04]	LSR	1.4810265625786	Live Single Lymphocytes	Helper Tcells-CD4+	panel1	TRUE	NA
(2e+04,6e+05]	LSR	0.341463104678909	Live Single Lymphocytes	Helper Tcells-CD4+	panel1	TRUE	0.769441606716093
(0,2e+04]	FORTESSA	3.36129209730531	Live Single Lymphocytes	cytotoxic Tcells-CD8+	panel1	TRUE	NA
