SAMPLE	LAB_ID
2016-06-23_PANEL 1_ZF_Group one_F1630917_004.fcs	F1630917
2016-07-18_PANEL 1_DHS_Group two_F1630918_032.fcs	F1630918
2016-08-15_PANEL 1_DHS_Group one_F1630919_009.fcs	F1630919
2016-07-12_PANEL 1_DHS_Group one_F1630920_009.fcs	F1630920
2016-07-20_PANEL 1_ZF_Group one_F1630922_010.fcs	F1630922
2016-08-15_PANEL 1_DHS_Group one_F1630924_010.fcs	F1630924
2016-08-10_PANEL 1_ZF_Group two_F1630925_032.fcs	F1630925
2016-07-12_PANEL 1_DHS_Group one_F1630926_010.fcs	F1630926
2016-08-01_PANEL 1_DHS_Group one_F1630927_008.fcs	F1630927
2016-07-20_PANEL 1_ZF_Group two_F1630928_026.fcs	F1630928
2016-07-20_PANEL 1_ZF_Group one_F1630929_005.fcs	F1630929
2016-07-15_PANEL 1_ZF_Group one_F1630931_001.fcs	F1630931
2016-07-14_PANEL 1_ZF_Group one_F1630932_010.fcs	F1630932
2016-07-20_PANEL 1_ZF_Group one_F1630933_009.fcs	F1630933
2016-07-21_PANEL 1_ZF_Group two_F1630934_025.fcs	F1630934
2016-07-21_PANEL 1_ZF_Group two_F1630936_032.fcs	F1630936
2016-08-11_PANEL 1_ZF_Group one_F1630939_007.fcs	F1630939
2016-08-18_PANEL 1_ZF_Group one_F1630942_008.fcs	F1630942
2016-08-19_PANEL 1_ZF_Group one_F1630943_008.fcs	F1630943
2016-08-18_PANEL 1_ZF_Group one_F1630944_001.fcs	F1630944
2016-08-17_PANEL 1_ZF_Group two_F1630945_032.fcs	F1630945
2016-08-15_PANEL 1_DHS_Group two_F1630946_029.fcs	F1630946
2016-08-29_PANEL 1_DHS_Group one_F1630947_014.fcs	F1630947
2016-08-09_PANEL 1_DHS_Group one_F1630948_014.fcs	F1630948
2016-08-18_PANEL 1_ZF_Group two_F1630950_027.fcs	F1630950
2016-08-17_PANEL 1_ZF_Group two_F1630952_028.fcs	F1630952
2016-08-29_PANEL 1_DHS_Group one_F1630953_013.fcs	F1630953
2016-08-18_PANEL 1_ZF_Group one_F1630959_005.fcs	F1630959
2016-08-16_PANEL 1_DHS_Group one_F1630961_009.fcs	F1630961
2016-08-09_PANEL 1_DHS_Group one_F1630962_006.fcs	F1630962
2016-08-29_PANEL 1_DHS_Group two_F1630965_032.fcs	F1630965
2016-08-16_PANEL 1_DHS_Group two_F1630967_032.fcs	F1630967
2016-08-29_PANEL 1_DHS_Group one_F1630971_006.fcs	F1630971
2016-08-19_PANEL 1_ZF_Group one_F1630972_001.fcs	F1630972
2016-08-29_PANEL 1_DHS_Group one_F1630974_012.fcs	F1630974
2016-08-17_PANEL 1_ZF_Group two_F1630975_025.fcs	F1630975
2016-08-17_PANEL 1_ZF_Group two_F1630976_027.fcs	F1630976
2016-08-18_PANEL 1_ZF_Group two_F1630977_032.fcs	F1630977
2016-08-15_PANEL 1_DHS_Group one_F1630978_013.fcs	F1630978
2016-08-29_PANEL 1_DHS_Group one_F1630980_005.fcs	F1630980
2016-08-16_PANEL 1_DHS_Group one_F1630981_001.fcs	F1630981
2016-08-17_PANEL 1_ZF_Group two_F1630982_024.fcs	F1630982
2016-08-18_PANEL 1_ZF_Group one_F1630986_009.fcs	F1630986
2016-08-15_PANEL 1_DHS_Group one_F1630987_002.fcs	F1630987
2016-07-18_PANEL 1_DHS_Group two_F1630988_028.fcs	F1630988
2016-07-21_PANEL 1_ZF_Group one_F1630989_008.fcs	F1630989
2016-07-14_PANEL 1_ZF_Group two_F1630990_028.fcs	F1630990
2016-08-04_PANEL 1_ZF_Group one_F1630992_006.fcs	F1630992
2016-07-13_PANEL 1_ZF_Group two_F1630993_032.fcs	F1630993
2016-07-21_PANEL 1_ZF_Group two_F1630994_031.fcs	F1630994
2016-08-12_PANEL 1_ZF_Group one_F1630995_008.fcs	F1630995
2016-07-21_PANEL 1_ZF_Group two_F1630996_028.fcs	F1630996
2016-07-20_PANEL 1_ZF_Group one_F1630998_002.fcs	F1630998
2016-07-21_PANEL 1_ZF_Group one_F1630999_006.fcs	F1630999
2016-07-21_PANEL 1_ZF_Group two_F1631000_030.fcs	F1631000
2016-08-12_PANEL 1_ZF_Group two_F1631005_029.fcs	F1631005
