CELL.TYPE	OC_POP	N	NUM_MANUAL_POPS_ZEROED_OUT	PEARSON	SPEARMAN	MEDIAN_OC_FREQ	MEDIAN_MANUAL_FREQ	MEAN_OC_FREQ	MEAN_MANUAL_FREQ	SD_OC_FREQ	SD_MANUAL_FREQ	FILTER
B lymphocytes	B cells (CD3- CD19+)	100	0	0.778256251453992	0.923633690137011	5.10929872913674	4.95	5.77877267979604	5.301	3.94374287505392	3.02963460809812	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
IgD+ memory B cells	IgD+ memory Bcells (CD27+)	86	14	0.871388435998252	0.910299544755416	8.45068236804207	10.3	10.5147977308415	10.8616279069767	9.27469738532183	8.08061105151091	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
IgD- memory B cells	IgD- memory Bcells (CD27+)	86	14	0.852437798950702	0.916059222332918	7.76514813373278	6.05	9.96777021390461	7.23953488372093	9.38863108585283	5.92029965596471	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
Naive B cells	naive Bcells (CD27- IgD+)	100	0	0.968825551522526	0.975744992660139	73.9142000157866	73.9	68.461957698255	70.039	18.4445673168113	16.7498584043465	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
T cells	Tcells (CD3+ CD19-)	100	0	0.994885786338911	0.992838005237886	72.1454019848476	69.5	71.6663547091395	69.181	11.7376016147586	11.3945910879068	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
Cytotoxic T cells	cytotoxic Tcells-CD8+	100	0	0.994881082673704	0.992073017339903	26.1042861333964	25.75	28.1700825336621	28.331	14.2329937008389	14.307846932309	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
Activated Cytotoxic Tcells	activated cytotoxic Tcells (CD8+ HLA-DR+)	100	0	0.286022280233886	0.289041593113141	5.00115885125709	2.1	5.00200703891427	2.758	0.00234323605117484	2.41285195265987	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
Central Memory cytotoxic T cells	central memory cytotoxic Tcells (CCR7+ , CD45RA-)	100	0	0.536257135207925	0.541309347304616	11.2365437282359	5.8	17.3037770035294	12.675	14.8029902391156	15.1582119291455	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
Effector (E) cytotoxic T cells	effector cytotoxic Tcells  (CCR7-  CD45RA+)	100	0	0.75654965742814	0.757989990977209	50.4010115276439	43.05	50.6608299132212	42.374	26.4847194663995	24.6875080667421	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
pE cytotoxic T cells	pE cytotoxic Tcells (CD27-  CD28-)	100	0	0.871478967257203	0.881825410021369	56.3256116198529	66.9	53.5631911578611	61.559	26.415703067332	23.3479958043685	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
pE1 cytotoxic T cells	pE1 cytotoxic Tcells (CD27+  CD28+)	100	0	0.656424125500567	0.778901636231012	15.4390802906218	13.7	21.5416406562125	15.292	18.5762070544931	11.4100937061813	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
pE2 cytotoxic T cells	pE2 cytotoxic Tcells (CD27+ , CD28-)	100	0	0.652690767921351	0.731185378365595	11.8457587474553	14.25	16.2462174590532	20.623	14.1419723755511	17.2947697763272	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
Effector Memory (EM) Cytotoxic T cells	effector memory cytotoxic Tcells (CCR7- , CD45RA-)	100	0	0.543339188027596	0.566544852384372	9.12447457022174	20.45	14.6711700907627	24.015	13.9663220189066	16.4682821867315	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
EM1 cytotoxic T cells	EM1 cytotoxic Tcells (CD27+  CD28+)	100	0	0.69862364353569	0.680618313071216	59.4078925929547	56.4	55.3493380915076	55.04	24.418362247473	17.7851884806692	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
EM2 cytotoxic T cells	EM2 cytotoxic Tcells (CD27+  CD28-)	100	0	0.726946448410552	0.69005788813016	6.0829698977572	8.1	8.80609541942165	10.601	9.34810517363308	9.14471194547191	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
EM3 cytotoxic T cells	EM3 cytotoxic Tcells (CD27-  CD28-)	100	0	0.78915795151763	0.806984908401283	10.5698495025933	17.6	21.4251671586561	21.742	23.9504060317596	16.2826311377393	100 randomly selected P1-P2 matched samples without abnormal/bad/manual annotations
