ID	activated cytotoxic Tcells (CD8+ HLA-DR+)	activated helper Tcells (CD4+ HLA-DR+)	B cells (CD3- CD19+)	central memory cytotoxic Tcells (CCR7+ , CD45RA-)	central memory cytotoxic Tcells (CD95+ , CD28+)	central memory helper Tcells (CCR7+ CD45RA-)	central memory helper Tcells (CD95+ CD28+)	Classical monocytes (CD16- CD14+)	cytotoxic Tcells-CD8+	DC (HLA-DR+)	DC NK (CD20- CD14-)	DC NK MONOCYTES (CD3- CD19-)	effector cytotoxic Tcells  (CCR7-  CD45RA+)	effector helper Tcells (CCR7- CD45RA+)	effector memory cytotoxic Tcells (CCR7- , CD45RA-)	effector memory cytotoxic Tcells (CD95- , CD28-)	effector memory helper Tcells (CCR7- CD45RA-)	effector memory helper Tcells (CD95- CD28-)	EM1 cytotoxic Tcells (CD27+  CD28+)	EM2 cytotoxic Tcells (CD27+  CD28-)	EM3 cytotoxic Tcells (CD27-  CD28-)	EM4 cytotoxic Tcells (CD27-  CD28+)	Helper Tcells-CD4+	IgD- memory Bcells (CD27+)	IgD+ memory Bcells (CD27+)	Live cells (PE-)	Live immune cells (CD45+ PE-)	Live Single immune cells(FSC-H/FSC-W)	Live Single PBMCs (SSC-A/FSC-A)	Lymphocytes (SSC-A v FSC-A)	MONOCYTES (CD14+)	Myeloid DC (CD11c+ CD123-)	naive Bcells (CD27- IgD+)	naive cytotoxic Tcells (CCR7+ , CD45RA+)	naive cytotoxic Tcells (CD95- , CD28+)	naive helper Tcells (CCR7+ CD45RA+)	naive helper Tcells (CD95- CD28+)	NK (CD16+)	NK CD56HI	NK CD56LO	Non classical monocytes (CD16+ CD14+)	pE cytotoxic Tcells (CD27-  CD28-)	pE cytotoxic Tcells (CD95-CD28-,CD27-  CD28-)	pE1 cytotoxic Tcells (CD27+  CD28+)	pE1 cytotoxic Tcells (CD95-CD28-,CD27+  CD28+)	pE2 cytotoxic Tcells (CD27+ , CD28-)	pE2 cytotoxic Tcells (CD95-CD28-,CD27+ , CD28-)	Plasmacytoid DC (CD11c- CD123+)	Single Cells (FSC-H v FSC-W)	Tcells (CD3+ CD19-)
F1630927	1072	1688	14015	14008	18109	21445	29788	26853	21440	2919	24312	60551	1410	20126	4866	1609	6490	62	2656	251	317	1642	64269	35	937	109537	382783	367102	322169	111614	26986	1488	12655	1157	1715	16209	34382	10157	111	9990	133	561	280	397	405	395	91	1034	111111	89508
F1630929	1142	1345	3558	2030	5732	18574	31373	13388	22838	1782	48996	69556	14269	2293	2959	12896	14350	2395	1396	215	1121	227	68538	100	87	136502	350813	338374	300583	138152	13944	1316	3024	3581	3688	33322	34770	32782	36	32457	556	10600	1968	2388	1369	1127	214	333	137973	99946
F1630930	1169	923	7385	1353	5450	23007	32687	18851	23370	2338	9031	33958	15786	3949	1572	14144	7666	298	1019	285	172	96	61886	1511	557	119669	114245	109532	96037	121062	19276	1661	1553	4660	3743	27265	28899	5251	32	4978	425	10923	2149	2441	2883	2208	365	526	120692	88600
F1630932	2811	880	5835	6660	9115	26459	39267	319	56217	224	4876	5619	33589	1069	15353	46662	7246	728	1626	1336	11926	465	45246	253	292	175200	29065	28162	19897	177186	387	172	4679	616	402	10473	5250	3963	2	3925	68	27581	21265	3145	2067	2091	1009	38	176589	108062
F1630933	4329	1265	5595	3656	15584	19837	32212	13041	86568	11776	61710	86924	68990	1177	2355	68904	6833	285	1078	249	430	598	34478	620	1629	171238	494133	476273	334763	175105	14380	4591	2775	11568	1726	6632	1980	35813	285	33904	1339	27221	7172	9008	27732	32144	7699	6053	174433	127927
F1630934	1336	730	1949	2493	8665	17055	21274	2805	26720	2765	26849	34177	19332	609	2477	13961	4491	708	955	290	1102	130	32169	278	690	114398	171498	163790	149370	115532	2883	1658	749	2419	4067	10015	10185	19971	116	19514	78	15946	6653	1893	493	1139	513	592	115175	65426
F1630951	2060	694	3913	4547	16270	19030	29195	18843	41194	8783	50619	79669	33549	944	3097	19629	14424	1964	2456	147	116	378	43266	49	1325	144280	252168	243398	228997	145618	20038	2534	2363	2	5238	8869	12101	39773	215	34661	1195	17882	8237	11938	1260	1575	337	5741	145134	94883
F1630971	1692	933	2117	1279	5116	28912	47658	50057	33834	3102	28776	90556	30471	2296	1157	27972	28451	9569	745	43	200	169	82253	1040	73	158968	431970	417349	372862	163332	52125	1237	350	928	690	22595	25006	21360	81	20352	2068	26485	12140	2271	970	1202	345	1555	162895	134462
F1630972	1271	1557	14034	16357	15674	24457	34203	28858	25420	6326	55377	115498	3188	2155	5325	8366	8763	183	2472	520	1425	908	84419	1110	1269	185489	471869	439437	356201	188596	29793	4489	10046	551	1359	49045	50032	16098	22	15756	935	602	1752	545	1500	81	310	1233	187269	127774
F1630978	609	1741	3182	1844	6785	38403	54591	31804	12177	7334	48265	89065	5746	9633	1724	3508	19554	10081	1210	162	170	182	123537	619	372	177652	405248	396891	358564	180298	32138	5795	1761	2864	1873	55948	58824	29788	191	28648	334	2344	873	2083	663	683	154	941	179815	151183
