ID	activated cytotoxic Tcells (CD8+ HLA-DR+)	activated helper Tcells (CD4+ HLA-DR+)	B cells (CD3- CD19+)	central memory cytotoxic Tcells (CCR7+ , CD45RA-)	central memory cytotoxic Tcells (CD95+ , CD28+)	central memory helper Tcells (CCR7+ CD45RA-)	central memory helper Tcells (CD95+ CD28+)	Classical monocytes (CD16- CD14+)	cytotoxic Tcells-CD8+	DC (HLA-DR+)	DC NK (CD20- CD14-)	DC NK MONOCYTES (CD3- CD19-)	effector cytotoxic Tcells  (CCR7-  CD45RA+)	effector helper Tcells (CCR7- CD45RA+)	effector memory cytotoxic Tcells (CCR7- , CD45RA-)	effector memory cytotoxic Tcells (CD95- , CD28-)	effector memory helper Tcells (CCR7- CD45RA-)	effector memory helper Tcells (CD95- CD28-)	EM1 cytotoxic Tcells (CD27+  CD28+)	EM2 cytotoxic Tcells (CD27+  CD28-)	EM3 cytotoxic Tcells (CD27-  CD28-)	EM4 cytotoxic Tcells (CD27-  CD28+)	Helper Tcells-CD4+	IgD- memory Bcells (CD27+)	IgD+ memory Bcells (CD27+)	Live cells (PE-)	Live immune cells (CD45+ PE-)	Live Single immune cells(FSC-H/FSC-W)	Live Single PBMCs (SSC-A/FSC-A)	Lymphocytes (SSC-A v FSC-A)	MONOCYTES (CD14+)	Myeloid DC (CD11c+ CD123-)	naive Bcells (CD27- IgD+)	naive cytotoxic Tcells (CCR7+ , CD45RA+)	naive cytotoxic Tcells (CD95- , CD28+)	naive helper Tcells (CCR7+ CD45RA+)	naive helper Tcells (CD95- CD28+)	NK (CD16+)	NK CD56HI	NK CD56LO	Non classical monocytes (CD16+ CD14+)	pE cytotoxic Tcells (CD27-  CD28-)	pE cytotoxic Tcells (CD95-CD28-,CD27-  CD28-)	pE1 cytotoxic Tcells (CD27+  CD28+)	pE1 cytotoxic Tcells (CD95-CD28-,CD27+  CD28+)	pE2 cytotoxic Tcells (CD27+ , CD28-)	pE2 cytotoxic Tcells (CD95-CD28-,CD27+ , CD28-)	Plasmacytoid DC (CD11c- CD123+)	Single Cells (FSC-H v FSC-W)	Tcells (CD3+ CD19-)
F1630927	0.05	0.0188586495061894	0.127947634132759	0.653358208955224	0.844636194029851	0.333675644556474	0.463489396131883	0.995071518565182	0.239531661974349	0.120064165844028	0.401512774355502	0.187947940366702	0.0657649253731343	0.313152530769111	0.226958955223881	0.0750466417910448	0.10098181082637	0.0009646952652134	0.545828195643239	0.0515824085491163	0.0651459103986848	0.33744348540896	0.718025204450999	0.00249732429539779	0.0668569389939351	0.985833985833986	0.530846785377489	0.959034230882772	0.877600775806179	0.184523465101169	0.445673894733365	0.509763617677287	0.902961113093115	0.053964552238806	0.0799906716417911	0.252205573449097	0.534970203363986	0.41777722935176	0.0109284237471694	0.98355813724525	0.00492848143481805	0.397872340425532	0.198581560283688	0.281560283687943	0.287234042553192	0.280141843971631	0.0645390070921986	0.354230900993491	0.995493396885695	0.817148543414554
F1630929	0.0500043786671337	0.013457266924139	0.026065552153082	0.0888869428146072	0.250985200105088	0.271002947270128	0.457746067874756	0.960126219162364	0.228503391831589	0.0363703159441587	0.704410834435563	0.231403638928349	0.624792013311148	0.0334558930812104	0.129564760486908	0.564672913565111	0.209372902623362	0.0349441185911465	0.471781007096992	0.0726596823251098	0.378844204123015	0.0767151064548834	0.685750305164789	0.0281056773468241	0.0244519392917369	0.989338493763273	0.517872432138787	0.964542363025315	0.88831588715445	0.231513538695633	0.200471562482029	0.738496071829405	0.849915682967959	0.156800070058674	0.161485243891759	0.486182847471476	0.507309813534098	0.669075026532778	0.00109816362638033	0.9900860228174	0.0398737808376363	0.742869156913589	0.137921368000561	0.167355806293363	0.0959422524353494	0.0789824094190203	0.0149975471301423	0.186868686868687	0.998704325670276	0.73219440008205
F1630930	0.0500213949507916	0.0104176072234763	0.0617118886261271	0.0578947368421053	0.233204963628584	0.371764211614905	0.528180848657208	0.977951857231791	0.263769751693002	0.258886059129665	0.265946168796749	0.353592886075159	0.675481386392811	0.0638108780661216	0.0672657252888318	0.605220367993154	0.123872927641147	0.00481530556183951	0.648218829516539	0.181297709923664	0.10941475826972	0.0610687022900763	0.698487584650113	0.204603926878808	0.0754231550440081	0.991523878964637	0.216900568807479	0.95874655345967	0.876793996275061	0.0549198648665201	0.567642381765711	0.71043627031651	0.210291130670278	0.199400941377835	0.160162601626016	0.440568141421323	0.46697152829396	0.581441700808327	0.00609407731860598	0.948009902875643	0.0220481427682092	0.691942227290004	0.136133282655518	0.154630685417459	0.182630178639301	0.139870771569745	0.0231217534524262	0.224978614200171	0.996943714790768	0.740375535853061
F1630932	0.0500026682320295	0.0081434731913161	0.0333047945205479	0.118469502107903	0.162139566323354	0.584780975113822	0.867855722052778	0.824289405684755	0.520229127722974	0.0459392945036916	0.867770065848016	0.282404382570237	0.597488304249604	0.0236263979136277	0.273102442321718	0.830033619723571	0.160146753304159	0.016089820094594	0.105907640200612	0.0870188236826679	0.776786295837947	0.0302872402787729	0.418704077288964	0.0433590402742074	0.0500428449014567	0.992134277899529	0.114530136813568	0.968931704799587	0.706519423336411	0.295704765862426	0.0688734650293647	0.767857142857143	0.801885175664096	0.0109575395343046	0.00715086183894551	0.231467975069619	0.116032356451399	0.812756357670221	0.000504668180671209	0.990411304567247	0.175710594315245	0.821131918187502	0.633094167733484	0.0936318437583733	0.0615380035130549	0.062252523147459	0.0300395962964066	0.169642857142857	0.996630659307169	0.616792237442922
F1630933	0.0500069309675631	0.00988845200778569	0.0326738223992338	0.0422326956843175	0.180020330838185	0.575352398631011	0.93427693021637	0.906884561891516	0.676698429573116	0.190828066763896	0.709930514012241	0.259658325442178	0.796945753627206	0.0341377110041186	0.0272040476850568	0.795952314943166	0.198184349440223	0.00826614072742038	0.457749469214437	0.105732484076433	0.182590233545648	0.253927813163482	0.269513081679395	0.110813226094727	0.291152815013405	0.981683511720833	0.463399423438699	0.963855884954051	0.702880490810943	0.183863522770705	0.165431871519948	0.389860733695652	0.49597855227882	0.133629054616024	0.0199380833564366	0.1923545449272	0.0574279250536574	0.580343542375628	0.00795800407673191	0.946695334096557	0.093115438108484	0.394564429627482	0.103957095231193	0.13056964777504	0.401971300188433	0.465922597477895	0.111595883461371	0.514011548913043	0.996162302618429	0.747071327625877
F1630934	0.05	0.0111576437501911	0.0170370111365583	0.0933008982035928	0.324288922155689	0.530168796045883	0.66131990425565	0.972944849115505	0.408400330143979	0.102983351335245	0.785586798139099	0.228807658833768	0.723502994011976	0.0189312692343561	0.0927020958083832	0.52249251497006	0.139606453417887	0.0220087662034878	0.385547032700848	0.11707710940654	0.444893015744853	0.0524828421477594	0.491685262739584	0.142637249871729	0.354027706516162	0.993253744302149	0.490737402352133	0.955054869444542	0.911960437145125	0.239548819175185	0.0843549755683647	0.599638336347197	0.384299640841457	0.0905314371257485	0.152208083832335	0.311324567129846	0.31660915788492	0.743826585720139	0.0058084222122077	0.977116819388113	0.0270551508844953	0.824849989654459	0.344144423753362	0.0979205462445686	0.0255017587419822	0.0589178564038899	0.026536312849162	0.214104882459313	0.996909947027663	0.571915592929946
F1630951	0.0500072826139729	0.00731427126039438	0.0271208760743	0.110380152449386	0.394960431130747	0.439837285628438	0.674779272407895	0.940363309711548	0.434155749712804	0.17351192240068	0.635366328182857	0.347904121014686	0.814414720590377	0.0218185180048999	0.0751808515803272	0.476501432247415	0.333379559007073	0.0453936116118892	0.793025508556668	0.0474652889893445	0.0374556021956732	0.122053600258314	0.455993170536345	0.0125223613595707	0.338614873498594	0.994115782656028	0.544305436837879	0.965221598299546	0.940833531910698	0.20451650325627	0.251515645985264	0.288511897984743	0.603884487605418	4.85507598193912e-05	0.127154439966985	0.204987750196459	0.279688438958998	0.785732630040104	0.00540567721821336	0.871470595630201	0.0596366902884519	0.53301141613759	0.245521476049957	0.355837729887627	0.0375570061700796	0.0469462577125995	0.0100450087931086	0.653649094842309	0.996676235080828	0.657630995286942
F1630971	0.0500088668203582	0.00693876336808913	0.0133171455890494	0.037802210793876	0.151208843175504	0.351500857111595	0.579407438026577	0.960326139088729	0.251624994422216	0.107798165137615	0.317770219532665	0.242867334295262	0.900602943784359	0.0279138754817453	0.0341963705148667	0.82674233020039	0.345896198314955	0.116336182266908	0.64390665514261	0.0371650821089023	0.17286084701815	0.146067415730337	0.611719296158022	0.491261218705716	0.0344827586206897	0.975892446054207	0.131210571446536	0.966152742088571	0.893405758729505	0.0422908611378596	0.575610671849463	0.398774983881367	0.165328294756731	0.0274280309747591	0.0203936868239049	0.274701226702977	0.304013227481065	0.742285237698082	0.00379213483146067	0.952808988764045	0.039673860911271	0.869187095927275	0.398411604476387	0.0745298808703357	0.031833546650914	0.0394473433756687	0.0113222408191395	0.501289490651193	0.99732446795484	0.845843188566252
F1630972	0.05	0.0121855776605569	0.0756594730684838	0.643469708890637	0.616601101494886	0.289709662516732	0.405157606699914	0.968616789178666	0.19894501228732	0.114235151777814	0.479462847841521	0.324249510809908	0.125413060582219	0.025527428659425	0.209480723839496	0.329110936270653	0.103803646098627	0.00216775844300454	0.464225352112676	0.0976525821596244	0.267605633802817	0.170516431924883	0.660689968225147	0.0790936297563061	0.0904232578024797	0.990494956453017	0.295812773757633	0.931269059844999	0.810584907506651	0.0825402271786312	0.257952518658332	0.709611128675308	0.715832977055722	0.021675845790716	0.0534618410700236	0.580971108399768	0.59266278918253	0.290698304350181	0.0013666293949559	0.978755124860231	0.0313832108213339	0.188833124215809	0.549560853199498	0.170953575909661	0.470514429109159	0.0254077791718946	0.0972396486825596	0.194909895668669	0.992963795626631	0.688849473553688
F1630978	0.0500123183050012	0.0115158450354868	0.0179114223312994	0.15143302948181	0.557197996222386	0.310862332742417	0.441899997571578	0.989607318439231	0.0805447702453318	0.151952760799751	0.541907595576265	0.248393592217847	0.471873203580521	0.0779766385779159	0.141578385480824	0.288084092962142	0.158284562519731	0.0816030824773145	0.701856148491879	0.0939675174013921	0.0986078886310905	0.105568445475638	0.817135524496802	0.194531741043369	0.116907605279698	0.987970970163779	0.430493883291762	0.979378059854706	0.90343192463422	0.251058621376284	0.360837590523775	0.790155440414508	0.553425518541798	0.235197503490186	0.153814568448715	0.452884560900783	0.476165035576386	0.617176007458821	0.00641197797770914	0.961729555525715	0.0103926815607692	0.407935955447268	0.151931778628611	0.362513052558301	0.115384615384615	0.118865297598329	0.0268012530455969	0.12830651758931	0.997321101731578	0.851006462071916
