POPULATION	N	PEARSON	SPEARMAN	MEDIAN_PRE	MEDIAN_POST	MEAN_PRE	MEAN_POST	SD_PRE	SD_POST	METRIC	PANEL
activated helper Tcells (CD4+ HLA-DR+)	10320	0.888305319000534	0.93642446192959	1394	1383	1860.03323643411	1851.61666666667	1800.38001753504	1760.04902030722	COUNT	panel1
activated helper Tcells (CD4+ HLA-DR+)	10320	0.834276300914114	0.834276300914114	0.0124758340157256	0.0124946141561212	0.0151333855632408	0.0150215066219924	0.0119323310636403	0.0115319816002175	FREQ_PARENT	panel1
activated helper Tcells (CD4+ HLA-DR+)	10320	0.833596681856149	0.89365938392605	0.00854084508980085	0.00855496671384794	0.0101257634790709	0.0100411128156331	0.00771091128613392	0.00736507027806939	FREQ_LYMPH_PBMC	panel1
activated cytotoxic Tcells (CD8+ HLA-DR+)	10320	0.99992994482568	0.999939716738245	1318.5	1318.5	1630.3726744186	1630.60620155039	1281.8504799093	1282.15516305847	COUNT	panel1
activated cytotoxic Tcells (CD8+ HLA-DR+)	10320	0.856844956366958	0.856844956366958	0.0500160432601881	0.0500159415377373	0.0500604519742643	0.0500521170118837	0.000924749184462926	0.000776976444864405	FREQ_PARENT	panel1
activated cytotoxic Tcells (CD8+ HLA-DR+)	10320	0.999640207345102	0.999547857351211	0.00777517504198523	0.00777187626348947	0.00859070462772699	0.00859073645461611	0.00446430833055257	0.00446357372940432	FREQ_LYMPH_PBMC	panel1
B cells (CD3- CD19+)	10320	0.999812509754751	0.999461603303182	9906.5	9899.5	12428.968120155	12427.4424418605	11698.838049853	11699.0669092922	COUNT	panel1
B cells (CD3- CD19+)	10320	0.999514999440435	0.999514999440435	0.0585056739604106	0.0585027764620781	0.0715136495629577	0.0714960627183928	0.0548909683606411	0.0548283322006846	FREQ_PARENT	panel1
B cells (CD3- CD19+)	10320	0.999527235916751	0.998965109720378	0.0577459807151013	0.0577698875738957	0.0704256552883701	0.0704167976762757	0.0539525053031781	0.0539371605899423	FREQ_LYMPH_PBMC	panel1
EM3 cytotoxic Tcells (CD27-  CD28-)	10320	0.997335282228298	0.999001675565781	242	240.5	1325.81957364341	1328.86501937984	3776.77415056847	3788.13187041311	COUNT	panel1
EM3 cytotoxic Tcells (CD27-  CD28-)	10320	0.997793368691761	0.997793368691761	0.0844250363901019	0.0842421963144039	0.168017902974337	0.168108437005771	0.197481781476332	0.197729793094035	FREQ_PARENT	panel1
EM3 cytotoxic Tcells (CD27-  CD28-)	10320	0.997614291807723	0.998198249269945	0.00146816041762349	0.00146934116711691	0.00671592881525781	0.00672851121955073	0.0166106692608338	0.0166486204729831	FREQ_LYMPH_PBMC	panel1
EM2 cytotoxic Tcells (CD27+  CD28-)	10320	0.999672539707689	0.998793389901507	220	220	648.540891472868	648.829360465116	1574.80083601147	1575.21764452694	COUNT	panel1
EM2 cytotoxic Tcells (CD27+  CD28-)	10320	0.995186871252809	0.995186871252809	0.0735636645962733	0.0736677115987461	0.109898080207466	0.109865677458365	0.111150768282411	0.110951403732999	FREQ_PARENT	panel1
EM2 cytotoxic Tcells (CD27+  CD28-)	10320	0.999578834209184	0.997514765361313	0.00134539311383289	0.00133491631702709	0.00343075568834405	0.00343241714318594	0.00707102187609231	0.00707255952963889	FREQ_LYMPH_PBMC	panel1
EM4 cytotoxic Tcells (CD27-  CD28+)	10320	0.99953630368017	0.998784461724627	275	276	551.099515503876	551.431395348837	974.88505522349	975.514540538979	COUNT	panel1
EM4 cytotoxic Tcells (CD27-  CD28+)	10320	0.99154993555423	0.99154993555423	0.0969245107176142	0.0967592592592593	0.119311594082471	0.11911456267566	0.0927938916491072	0.0924321199897782	FREQ_PARENT	panel1
EM4 cytotoxic Tcells (CD27-  CD28+)	10320	0.998368707031282	0.997767152249705	0.0016786772379291	0.0016779539195576	0.00291338315365027	0.00291465576766545	0.00432001493526948	0.00432535956230435	FREQ_LYMPH_PBMC	panel1
EM1 cytotoxic Tcells (CD27+  CD28+)	10320	0.999746925188923	0.999275563470867	1534.5	1537	2827.57742248062	2827.95910852713	3849.29450870715	3848.50396156718	COUNT	panel1
EM1 cytotoxic Tcells (CD27+  CD28+)	10320	0.99834464907542	0.99834464907542	0.643989234449761	0.643981481481481	0.602772422735727	0.602911322860203	0.218275985686944	0.218443305679679	FREQ_PARENT	panel1
EM1 cytotoxic Tcells (CD27+  CD28+)	10320	0.999309285754674	0.998351097050611	0.00932023633496346	0.00932135873758357	0.0143800220928095	0.0143850690550149	0.0152956847407729	0.0152963513034484	FREQ_LYMPH_PBMC	panel1
pE cytotoxic Tcells (CD27-  CD28-)	10320	0.999104560905046	0.998743519472803	4916.5	4930	10400.8511627907	10404.2603682171	14801.2527195102	14800.9813237528	COUNT	panel1
pE cytotoxic Tcells (CD27-  CD28-)	10320	0.994943006066584	0.994943006066584	0.512786783566773	0.513531662027992	0.48553192645468	0.48589228794857	0.266701023468383	0.266616739879145	FREQ_PARENT	panel1
pE cytotoxic Tcells (CD27-  CD28-)	10320	0.997909093802189	0.998324768034746	0.0322407261589991	0.0322690219056317	0.0538966447218903	0.0539216955768462	0.0634551211165503	0.0634742531343089	FREQ_LYMPH_PBMC	panel1
pE2 cytotoxic Tcells (CD27+ , CD28-)	10320	0.997791877948794	0.996450956435352	1515.5	1517	2649.30813953488	2649.69583333333	3611.06495340296	3616.33272750033	COUNT	panel1
pE2 cytotoxic Tcells (CD27+ , CD28-)	10320	0.986495201937725	0.986495201937725	0.141381185619488	0.141765480505883	0.186900516517033	0.187233417568091	0.153913207781301	0.154039269771767	FREQ_PARENT	panel1
pE2 cytotoxic Tcells (CD27+ , CD28-)	10320	0.990499608552265	0.994415523557422	0.0089653432891916	0.0089748198298321	0.0141554390333408	0.0141601018750831	0.0165249980857856	0.0165844053503829	FREQ_LYMPH_PBMC	panel1
pE1 cytotoxic Tcells (CD27+  CD28+)	10320	0.997181637729739	0.995348013001658	1875.5	1874	3647.10736434109	3652.49127906977	5354.75656185348	5368.61223134553	COUNT	panel1
pE1 cytotoxic Tcells (CD27+  CD28+)	10320	0.992811415104656	0.992811415104656	0.184392933042255	0.183829253571739	0.251660020367487	0.251619508722643	0.210667296717145	0.210939074433783	FREQ_PARENT	panel1
